# This file was automatically generated by https://test.masterlens.org/ and should not be edited by hand. File was created on 2022-11-03.
# "system_name"	 "discovery_date"	 "alternate_name"	 "kind_acronym"	 "discovery_acronym"	 "reference_identifier"	 "ra_hrs"	 "ra_mins"	 "ra_secs"	 "ra_coord"	 "dec_degrees"	 "dec_arcmin"	 "dec_arcsec"	 "dec_coord"	 "lensgrade"	 "number_images"	 "theta_e"	 "theta_e_err"	 "theta_e_quality"	 "z_lens"	 "z_lens_err"	 "z_lens_quality"	 "z_source"	 "z_source_err"	 "z_source_quality"	 "vdisp"	 "vdisp_err"	 "filter_lens"	 "filter_source"	 "fluxes"	 "mag_lens"	 "mag_source"	 "morphology"	 "has_sdss"	 "sdss_link"	 "has_adsabs"	 "adsabs_link"	 "apod_link"	 "vett_status"	 "released_status"	 "hidden_status"	 "vetted"	 "released"	 "hidden"	 "graphic_status"	 "equinox"	 "sdss_ObjID"	 "sdss_specObjID"	 "time_delay0"	 "time_delay1"	 "lens_name"
"J2146-0047"	 ""	 "SDSS J2146&minus;0047"	 "GAL-QSO"	 ""	 "MNRAS454(2015)1260"	 ""	 ""	 ""	 NaN	 ""	 ""	 ""	 NaN	 ""	 0	 0.71	 NaN	 1	 0.799	 NaN	 0	 2.381	 NaN	 0	 215	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J2146-0047"
"J0000+2832"	 ""	 "SDSSJ0000+2832"	 "GAL-GAL"	 "SILO"	 "2021MNRAS.502.4617T"	 "00"	 "00"	 "25.55"	 0.106464	 "+28"	 "32"	 "11.94"	 28.53665	 ""	 0	 NaN	 NaN	 0	 0.3507	 NaN	 0	 1.171	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0000+2832"
"J0000-3502"	 ""	 "KIDSJ0000&minus;3502"	 "GAL-QSO"	 "KiDS-SQuaD"	 "A&amp;A632A(2019)56"	 "00"	 "00"	 "57.1"	 0.237917	 "-35"	 "02"	 "54.15"	 -35.048375	 ""	 0	 0.5	 NaN	 2	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0000-3502"
"J0001-3340"	 ""	 ""	 ""	 ""	 "MNRAS484(2019)3879P"	 "00"	 "01"	 "0.78"	 0.25325	 "-33"	 "40"	 "23.38"	 -33.67316	 ""	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0001-3340"
"J0001-3321"	 ""	 ""	 ""	 ""	 "MNRAS484(2019)3879P"	 "00"	 "01"	 "13.12"	 0.30467	 "-33"	 "21"	 "58.75"	 -33.36632	 ""	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0001-3321"
"J0001-3010"	 ""	 ""	 ""	 ""	 "MNRAS484(2019)3879P"	 "00"	 "01"	 "16.39"	 0.31831	 "-30"	 "10"	 "36.41"	 -30.17678	 ""	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0001-3010"
"J0001-3208"	 ""	 ""	 ""	 ""	 "MNRAS484(2019)3879P"	 "00"	 "01"	 "16.44"	 0.31852	 "-32"	 "08"	 "32.75"	 -32.14243	 ""	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0001-3208"
"J0001-5549"	 ""	 "J000128.98&minus;554959.1"	 "GAL-QSO"	 ""	 "MNRAS489(2019)2525"	 "00"	 "01"	 "28.98"	 0.37075	 "-55"	 "49"	 "59.1"	 -55.833083	 ""	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0001-5549"
"J0001-0002"	 ""	 "HSCJ0001-0002"	 "CLUST-GAL"	 "SuGOHI"	 "MNRAS495(2020)1291"	 "00"	 "01"	 "29.64"	 0.3735	 "-00"	 "02"	 "41.64"	 -0.0449	 ""	 0	 NaN	 NaN	 0	 0.247	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0001-0002"
"J0001-3221"	 ""	 ""	 ""	 ""	 "MNRAS484(2019)3879P"	 "00"	 "01"	 "32.87"	 0.38695	 "-32"	 "21"	 "46.04"	 -32.36279	 ""	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0001-3221"
"J0002+2531"	 ""	 "SDSSJ0002+2531"	 "GAL-GAL"	 "SILO"	 "2021MNRAS.502.4617T"	 "00"	 "02"	 "3.79"	 0.515802	 "+25"	 "31"	 "25.1"	 25.523638	 ""	 0	 NaN	 NaN	 0	 0.5091	 NaN	 0	 1.1571	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0002+2531"
"J0002+3124"	 ""	 "SDSSJ0002+3124"	 "GAL-GAL"	 "SILO"	 "2021MNRAS.502.4617T"	 "00"	 "02"	 "8.59"	 0.535806	 "+31"	 "24"	 "11.87"	 31.403297	 ""	 0	 NaN	 NaN	 0	 0.495	 NaN	 0	 1.1765	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0002+3124"
"J0002-0712"	 ""	 "SDSSJ0002-0712"	 "GAL-GAL"	 "SILO"	 "2021MNRAS.502.4617T"	 "00"	 "02"	 "9.39"	 0.539143	 "-07"	 "12"	 "42.23"	 -7.211731	 ""	 0	 NaN	 NaN	 0	 0.3175	 NaN	 0	 1.2145	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0002-0712"
"J0002-3303"	 ""	 ""	 ""	 ""	 "MNRAS484(2019)3879P"	 "00"	 "02"	 "9.43"	 0.53929	 "-33"	 "03"	 "18.94"	 -33.05526	 ""	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0002-3303"
"J0002+1330"	 ""	 "SDSSJ0002+1330"	 "GAL-GAL"	 "SILO"	 "2021MNRAS.502.4617T"	 "00"	 "02"	 "10.72"	 0.544683	 "+13"	 "30"	 "14.53"	 13.504035	 ""	 0	 NaN	 NaN	 0	 0.5689	 NaN	 0	 1.1211	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0002+1330"
"J0002-0128"	 ""	 "HELMS3"	 ""	 ""	 "ApJ823(2016)17"	 "00"	 "02"	 "15.9"	 0.56625	 "-01"	 "28"	 "29.0"	 -1.474722	 ""	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0002-0128"
"J0002-3507"	 ""	 "DESJ0002-3507"	 "GAL-GAL"	 ""	 "ApJS243(2019)17"	 "00"	 "02"	 "23.63"	 0.59845	 "-35"	 "07"	 "16.39"	 -35.12122	 ""	 0	 NaN	 NaN	 0	 0.51	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0002-3507"
"J0002-5229"	 ""	 ""	 "GAL-GAL"	 ""	 "ApJS243(2019)17"	 "00"	 "02"	 "29.66"	 0.623583	 "-52"	 "29"	 "19.9"	 -52.488861	 ""	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0002-5229"
"J0002-3026"	 ""	 ""	 ""	 ""	 "MNRAS484(2019)3879P"	 "00"	 "02"	 "30.64"	 0.62765	 "-30"	 "26"	 "19.79"	 -30.43883	 ""	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0002-3026"
"J0002-3229"	 ""	 ""	 ""	 ""	 "MNRAS484(2019)3879P"	 "00"	 "02"	 "33.88"	 0.64118	 "-32"	 "29"	 "52.48"	 -32.49791	 ""	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0002-3229"
"J0002-3209"	 ""	 ""	 ""	 ""	 "MNRAS484(2019)3879P"	 "00"	 "02"	 "37.83"	 0.65762	 "-32"	 "09"	 "29.81"	 -32.15828	 ""	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0002-3209"
"J0002+0248"	 ""	 ""	 "GAL-GAL"	 ""	 "ApJS243(2019)17"	 "00"	 "02"	 "41.13"	 0.671375	 "+02"	 "48"	 "52.85"	 2.814681	 ""	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0002+0248"
"J0002+2436"	 ""	 "SDSSJ0002+2436"	 "GAL-GAL"	 "SILO"	 "2021MNRAS.502.4617T"	 "00"	 "02"	 "41.67"	 0.673617	 "+24"	 "36"	 "12.73"	 24.603537	 ""	 0	 NaN	 NaN	 0	 0.3263	 NaN	 0	 0.8246	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0002+2436"
"J0002-3412"	 ""	 ""	 ""	 ""	 "MNRAS484(2019)3879P"	 "00"	 "02"	 "45.02"	 0.68757	 "-34"	 "12"	 "26.39"	 -34.20733	 ""	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0002-3412"
"J0003+0053"	 ""	 "HSCJ0003+0053"	 "GAL-GAL"	 "SuGOHI"	 "MNRAS495(2020)1291"	 "00"	 "03"	 "0.0"	 0.75	 "+00"	 "53"	 "37.68"	 0.8938	 ""	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0003+0053"
"J0003-3152"	 ""	 ""	 ""	 ""	 "MNRAS484(2019)3879P"	 "00"	 "03"	 "10.16"	 0.79235	 "-31"	 "52"	 "45.08"	 -31.87919	 ""	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0003-3152"
"J0003-5444"	 ""	 "J00031127&minus;5444588"	 ""	 "MNELLS"	 "MNRAS494(2020)271"	 "00"	 "03"	 "11.27"	 0.796958	 "-54"	 "44"	 "58.8"	 -54.749667	 ""	 0	 NaN	 NaN	 0	 0.0326	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0003-5444"
"J0003+0054"	 ""	 "HSCJ0003+0054"	 "CLUST-GAL"	 "SuGOHI"	 "MNRAS495(2020)1291"	 "00"	 "03"	 "13.08"	 0.8045	 "+00"	 "54"	 "25.2"	 0.907	 ""	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0003+0054"
"J0003-3138"	 ""	 ""	 ""	 ""	 "MNRAS484(2019)3879P"	 "00"	 "03"	 "16.36"	 0.81817	 "-31"	 "38"	 "9.85"	 -31.63607	 ""	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0003-3138"
"J0003-3348"	 ""	 "DESJ0003-3348"	 "GAL-GAL"	 "LinKS"	 "ApJS243(2019)17"	 "00"	 "03"	 "16.38"	 0.81825	 "-33"	 "48"	 "4.32"	 -33.8012	 ""	 0	 NaN	 NaN	 0	 0.56	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0003-3348"
"J0003+0140"	 ""	 "HELMS32"	 ""	 ""	 "ApJ823(2016)17"	 "00"	 "03"	 "36.9"	 0.90375	 "+01"	 "40"	 "13.0"	 1.670278	 ""	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0003+0140"
"J0003+3406"	 ""	 "SDSSJ0003+3406"	 "GAL-GAL"	 "SILO"	 "2021MNRAS.502.4617T"	 "00"	 "03"	 "37.51"	 0.906289	 "+34"	 "06"	 "0.2"	 34.100056	 ""	 0	 NaN	 NaN	 0	 0.3188	 NaN	 0	 0.8641	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0003+3406"
"J0003-5155"	 ""	 ""	 "GAL-GAL"	 ""	 "ApJS243(2019)17"	 "00"	 "03"	 "38.47"	 0.910292	 "-51"	 "55"	 "57.4"	 -51.932611	 ""	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0003-5155"
"J0003-3159"	 ""	 ""	 ""	 ""	 "MNRAS484(2019)3879P"	 "00"	 "03"	 "40.6"	 0.91917	 "-31"	 "59"	 "1.43"	 -31.98373	 ""	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0003-3159"
"J0003-3329"	 ""	 ""	 ""	 ""	 "MNRAS484(2019)3879P"	 "00"	 "03"	 "41.59"	 0.92331	 "-33"	 "29"	 "35.2"	 -33.49311	 ""	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0003-3329"
"J0003+0845"	 ""	 "SDSSJ0003+0845"	 "GAL-GAL"	 "SILO"	 "2021MNRAS.502.4617T"	 "00"	 "03"	 "54.86"	 0.978588	 "+08"	 "45"	 "55.82"	 8.765506	 ""	 0	 NaN	 NaN	 0	 0.5825	 NaN	 0	 1.4557	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0003+0845"
"HSC J0003+0054[J000400+010000]"	 ""	 "HSC J0003+0054[J000400+010000]"	 "CLUST-GAL"	 ""	 "ApJ855(2018)4"	 "00"	 "04"	 "0.0"	 1.0	 "+01"	 "00"	 "0.0"	 1.0	 ""	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "HSC J0003+0054"
"J0004+0100"	 ""	 "SS1"	 "GAL-QSO"	 ""	 "MNRAS456(2016)1948"	 "00"	 "04"	 "0.0"	 1.0	 "+01"	 "00"	 "0.0"	 1.0	 ""	 0	 NaN	 NaN	 2	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0004+0100"
"J0004+1500"	 ""	 "SDSSJ0004+1500"	 "GAL-GAL"	 "SILO"	 "2021MNRAS.502.4617T"	 "00"	 "04"	 "17.27"	 1.071976	 "+15"	 "00"	 "40.05"	 15.011125	 ""	 0	 NaN	 NaN	 0	 0.5127	 NaN	 0	 0.9809	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0004+1500"
"J0004-3341"	 ""	 ""	 ""	 ""	 "MNRAS484(2019)3879P"	 "00"	 "04"	 "21.95"	 1.09146	 "-33"	 "41"	 "0.13"	 -33.68337	 ""	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0004-3341"
"J0004-3844"	 ""	 ""	 "GAL-GAL"	 ""	 "ApJS243(2019)17"	 "00"	 "04"	 "28.14"	 1.11725	 "-38"	 "44"	 "8.95"	 -38.735819	 ""	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0004-3844"
"J0004+1646"	 ""	 "SDSSJ0004+1646"	 "GAL-GAL"	 "SILO"	 "2021MNRAS.502.4617T"	 "00"	 "04"	 "30.53"	 1.127194	 "+16"	 "46"	 "30.07"	 16.775019	 ""	 0	 NaN	 NaN	 0	 0.5141	 NaN	 0	 1.4483	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0004+1646"
"J0004-3400"	 ""	 ""	 ""	 ""	 "MNRAS484(2019)3879P"	 "00"	 "04"	 "44.46"	 1.18523	 "-34"	 "00"	 "39.42"	 -34.01095	 ""	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0004-3400"
"SDSS J0004-0103[J000451-010319]"	 ""	 "SDSS J0004-0103[J000451-010319]"	 "CLUST-GAL"	 ""	 "ApJS247(2020)12"	 "00"	 "04"	 "51.54"	 1.214755	 "-01"	 "03"	 "19.32"	 -1.055367	 ""	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "SDSS J0004-0103"
"SDSS J0004-0103[J000451-010318]"	 ""	 "SDSS J0004-0103[J000451-010318]"	 "CLUST-GAL"	 ""	 "ApJS247(2020)12"	 "00"	 "04"	 "51.55"	 1.214801	 "-01"	 "03"	 "18.68"	 -1.05519	 ""	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "SDSS J0004-0103"
"SDSS J0004-0103[J000451-010320]"	 ""	 "SDSS J0004-0103[J000451-010320]"	 "CLUST-GAL"	 ""	 "ApJS247(2020)12"	 "00"	 "04"	 "51.63"	 1.21514	 "-01"	 "03"	 "20.74"	 -1.055762	 ""	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "SDSS J0004-0103"
"SDSS J0004-0103[J000451-010321]"	 ""	 "SDSS J0004-0103[J000451-010321]"	 "CLUST-GAL"	 ""	 "ApJS247(2020)12"	 "00"	 "04"	 "51.71"	 1.215462	 "-01"	 "03"	 "21.3"	 -1.055917	 ""	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "SDSS J0004-0103"
"J0004-0103"	 ""	 "HSCJ0004-0103"	 "CLUST-GAL"	 "SuGOHI"	 "MNRAS495(2020)1291"	 "00"	 "04"	 "51.84"	 1.216	 "-01"	 "03"	 "16.56"	 -1.0546	 ""	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 502	 144	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0004-0103"
"J0005-2859"	 ""	 ""	 ""	 ""	 "MNRAS484(2019)3879P"	 "00"	 "05"	 "3.91"	 1.26631	 "-28"	 "59"	 "52.3"	 -28.99786	 ""	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0005-2859"
